glass_type,component_j,component_k,rho_raw,rho_adjusted,direction_same,selection_frequency_adjusted
高钾,Fe2O3,P2O5,0.7022696896975897,0.49390784787731606,1,
高钾,Fe2O3,SrO,0.0937121123197257,0.3844512005154103,1,
高钾,CuO,PbO,-0.15355430940065937,-0.25528259680754994,1,
高钾,CuO,P2O5,0.6125122428346704,0.5381870820386558,1,
高钾,CuO,SrO,0.04611199296909622,0.07624355634344336,1,
高钾,PbO,P2O5,-0.2663730861086387,-0.5031890530546489,1,
高钾,PbO,SrO,0.31767763572204855,0.3397139321393996,1,
高钾,P2O5,SrO,0.03799757918478696,0.09249569578775185,1,
铅钡,SiO2,K2O,-0.33158692082262853,-0.35997378103844585,1,
铅钡,SiO2,CaO,-0.4460231200077609,-0.34449890255169946,1,
铅钡,SiO2,MgO,-0.05694306116617103,-0.007262037438503442,1,
铅钡,SiO2,Al2O3,0.41951212471020916,0.45012113533694587,1,
铅钡,SiO2,Fe2O3,0.0456663893734129,-0.051870123067290115,0,
铅钡,SiO2,CuO,-0.362441892930797,-0.3278306041236148,1,
铅钡,SiO2,PbO,-0.7055669356615732,-0.6349707354291714,1,
铅钡,SiO2,BaO,-0.5306515024250037,-0.5734219005792035,1,
铅钡,SiO2,P2O5,-0.3259701582964513,-0.24733885342233836,1,
铅钡,SiO2,SrO,-0.4877486644987463,-0.6561312820249465,1,
铅钡,K2O,CaO,0.3865719473744262,0.4167731247858268,1,
铅钡,K2O,MgO,0.11692496706473837,0.11254789430939137,1,
铅钡,K2O,Al2O3,0.05813050064840825,0.05813802179376641,1,
铅钡,K2O,Fe2O3,0.26588601062544126,0.2823590120292333,1,
铅钡,K2O,CuO,0.07008901038048176,0.06710319223828451,1,
铅钡,K2O,PbO,0.21972297718244388,0.22700670960328545,1,
铅钡,K2O,BaO,0.17758873101136916,0.1768862008360989,1,
铅钡,K2O,P2O5,0.16231003371391053,0.18706979919233263,1,
铅钡,K2O,SrO,0.1011734097347186,0.11050259732241945,1,
铅钡,CaO,MgO,0.10164892188293134,0.07929503815597229,1,
铅钡,CaO,Al2O3,0.34368271520337246,0.36802470887928335,1,
铅钡,CaO,Fe2O3,0.30820267967781473,0.4214609602182111,1,
铅钡,CaO,CuO,0.1763742044727313,0.13336499998583334,1,
铅钡,CaO,PbO,0.2297878950500602,0.10281992580666637,1,
铅钡,CaO,BaO,-0.036794661824535904,-0.048455723919425965,1,
铅钡,CaO,P2O5,0.5975694973703325,0.5707490220662298,1,
铅钡,CaO,SrO,0.07864450012838814,0.14995504947882635,1,
铅钡,MgO,Al2O3,0.18591441901027034,0.18628609173293206,1,
铅钡,MgO,Fe2O3,0.11538403377416336,0.14044085734624664,1,
铅钡,MgO,CuO,-0.12989141177784208,-0.14294298525809188,1,
铅钡,MgO,PbO,-0.0700962231853222,-0.1358931579306126,1,
铅钡,MgO,BaO,-0.045450164792385256,-0.04785038354833267,1,
铅钡,MgO,P2O5,-0.028369836729982487,-0.0624576410261038,1,
铅钡,MgO,SrO,0.015448897369369951,0.036989954733907315,1,
铅钡,Al2O3,Fe2O3,0.34839587675042677,0.35480046084487304,1,
铅钡,Al2O3,CuO,-0.18102018654221763,-0.18367352542668608,1,
铅钡,Al2O3,PbO,-0.5165616819633636,-0.5470482223577505,1,
铅钡,Al2O3,BaO,-0.31553493606413424,-0.31560125982183035,1,
铅钡,Al2O3,P2O5,0.09983156097455932,0.11821044306624096,1,
铅钡,Al2O3,SrO,-0.35770923735213805,-0.36046098268810306,1,
铅钡,Fe2O3,CuO,0.12601464965332465,0.15744163423402827,1,
铅钡,Fe2O3,PbO,-0.23383208235207562,-0.165245492018034,1,
铅钡,Fe2O3,BaO,0.042553890592078925,0.048092126409359566,1,
铅钡,Fe2O3,P2O5,0.15745925327742952,0.2716203348541378,1,
铅钡,Fe2O3,SrO,-0.024741164625941302,-0.06038939571381429,1,
铅钡,CuO,PbO,0.05464976159852811,0.005804539349284616,1,
铅钡,CuO,BaO,0.5158432441975821,0.5216403400338816,1,
铅钡,CuO,P2O5,0.2507628580839325,0.2199672691243808,1,
铅钡,CuO,SrO,0.1751425417415709,0.19833500393689324,1,
铅钡,PbO,BaO,0.17073087411848487,0.17489382931353664,1,
铅钡,PbO,P2O5,0.12813964186424792,0.015506058060384988,1,
铅钡,PbO,SrO,0.3448784328866044,0.47254243714528615,1,
铅钡,BaO,P2O5,0.13958541522905396,0.1602228048158149,1,
铅钡,BaO,SrO,0.33783783052458893,0.34537219630421884,1,
铅钡,P2O5,SrO,0.017243236083729085,0.0737797918094024,1,
