component_j,component_k,rho_high_k,rho_lead_barium,delta,delta_ci_low,delta_ci_high,permutation_p,p_fdr,effect_pass,direction_frequency,core_differential_edge,permutation_success
MgO,Fe2O3,0.3999490447156215,0.11538403377416336,0.28456501094145814,-0.13487995692614935,0.6370817285276198,0.2886711328867113,0.5196080391960803,1,0.9090909090909091,0,10000
MgO,CuO,0.4948427729338457,-0.12989141177784208,0.6247341847116878,0.21957905370279057,0.8899355451010268,0.0023997600239976003,0.026997300269973,1,0.9957716701902748,1,10000
MgO,PbO,0.042552103067836466,-0.0700962231853222,0.11264832625315867,-0.6376498123075394,0.709441126049078,0.5265473452654734,0.764342920546655,0,0.6733615221987315,0,10000
MgO,P2O5,0.43074238761533,-0.028369836729982487,0.4591122243453125,0.12109495376126528,0.7311688049331795,0.012698730126987301,0.08999100089991001,1,0.9936575052854123,0,10000
MgO,SrO,0.2917172002375092,0.015448897369369951,0.27626830286813925,-0.35491506137915774,0.7406914778855404,0.23107689231076892,0.49516476923736197,1,0.7579281183932347,0,10000
Al2O3,Fe2O3,0.6914908897551101,0.34839587675042677,0.3430950130046833,-0.014338770361872012,0.6766121646189449,0.22357764223577642,0.49516476923736197,1,0.9704016913319239,0,10000
Al2O3,CuO,0.19464255899855504,-0.18102018654221763,0.37566274554077267,-0.12034586784726123,0.9005420499953823,0.09159084091590841,0.41215878412158785,1,0.919661733615222,0,10000
Al2O3,PbO,0.20488347791383965,-0.5165616819633636,0.7214451598772033,0.2191253067236122,0.8992054098125513,9.999000099990002e-05,0.0044995500449955,1,0.9936575052854123,1,10000
Al2O3,P2O5,0.4000450802039241,0.09983156097455932,0.3002135192293648,-0.1963538024394412,0.7657535797118052,0.13928607139286073,0.44320567943205674,1,0.8932346723044398,0,10000
Al2O3,SrO,0.0048803071539071565,-0.35770923735213805,0.3625895445060452,0.13851403022723338,0.6323813994849051,0.12198780121987801,0.44320567943205674,1,0.9989429175475687,0,10000
Fe2O3,CuO,0.5267364323606313,0.12601464965332465,0.40072178270730663,0.007231859907070766,0.7966225633410156,0.16328367163283672,0.44320567943205674,1,0.9767441860465116,0,10000
Fe2O3,PbO,0.12678929960806726,-0.23383208235207562,0.3606213819601429,-0.16208586987277762,0.713596493456528,0.17378262173782622,0.44320567943205674,1,0.9016913319238901,0,10000
Fe2O3,P2O5,0.7022696896975897,0.15745925327742952,0.5448104364201602,0.1894383641564672,0.76261999431221,0.013498650134986502,0.08999100089991001,1,0.9968287526427061,0,10000
Fe2O3,SrO,0.0937121123197257,-0.024741164625941302,0.11845327694566701,-0.18156117503257355,0.44039119417435657,0.6856314368563143,0.7672804148156613,0,0.7790697674418605,0,10000
CuO,PbO,-0.15355430940065937,0.05464976159852811,-0.20820407099918747,-0.693207552659217,0.44170687576771583,0.280971902809719,0.5196080391960803,1,0.6300211416490487,0,10000
CuO,P2O5,0.6125122428346704,0.2507628580839325,0.3617493847507379,-0.1128000825211466,0.7687620788001728,0.2842715728427157,0.5196080391960803,1,0.9355179704016914,0,10000
CuO,SrO,0.04611199296909622,0.1751425417415709,-0.1290305487724747,-0.4247721869660883,0.2380653564352784,0.6627337266273373,0.7646927614930815,0,0.7748414376321353,0,10000
PbO,P2O5,-0.2663730861086387,0.12813964186424792,-0.3945127279728866,-0.7864331587097947,0.08082624203292774,0.11248875112488751,0.44320567943205674,1,0.9291754756871036,0,10000
PbO,SrO,0.31767763572204855,0.3448784328866044,-0.027200797164555868,-0.9030284124169009,0.5161461408440619,0.8907109289071092,0.9321393442051142,0,0.6448202959830867,0,10000
P2O5,SrO,0.03799757918478696,0.017243236083729085,0.020754343101057875,-0.21240078646771357,0.32683140971679886,0.930906909309069,0.9502049795020497,0,0.5486257928118393,0,10000
