glass_type,component,weathering,pct
铅钡,SiO2,风化,24.33933358866335
铅钡,SiO2,风化,28.793405656355116
铅钡,PbO,风化,40.96385542168675
铅钡,PbO,风化,27.257175441931192
铅钡,PbO,风化,31.310304901582402
铅钡,PbO,风化,24.60867458202084
铅钡,PbO,风化,40.464940464940476
铅钡,PbO,无风化,9.447858993244274
铅钡,PbO,无风化,16.262031317339463
铅钡,PbO,无风化,26.996479525662405
铅钡,PbO,无风化,31.141699614389616
铅钡,PbO,风化,28.065006652727625
铅钡,PbO,风化,28.49116792839118
铅钡,PbO,无风化,16.31837006712048
铅钡,PbO,无风化,11.838815156760917
铅钡,PbO,无风化,36.41766098704675
铅钡,PbO,无风化,35.543416839329446
铅钡,PbO,无风化,15.688690871172625
铅钡,PbO,无风化,18.499274446472878
铅钡,PbO,无风化,14.947047125745735
铅钡,PbO,风化,44.204928540904994
铅钡,PbO,无风化,21.07224770642202
铅钡,PbO,风化,40.504234400856625
铅钡,PbO,无风化,16.402644974073546
铅钡,PbO,风化,47.43854923276734
铅钡,PbO,风化,56.60359859024301
铅钡,PbO,风化,65.31770397246255
铅钡,PbO,风化,43.90268172545898
铅钡,PbO,无风化,21.220056250606152
铅钡,PbO,无风化,18.667656336982745
铅钡,PbO,风化,57.39355581127732
铅钡,PbO,风化,43.14084642822713
铅钡,PbO,无风化,12.748220307231172
铅钡,PbO,无风化,15.087752406114364
铅钡,PbO,无风化,23.3180957658032
铅钡,PbO,无风化,24.814380617428686
铅钡,PbO,风化,15.150930658694186
铅钡,PbO,风化,33.32683307332294
铅钡,PbO,无风化,21.9185908117115
铅钡,PbO,风化,45.25352257533684
铅钡,PbO,无风化,29.152380952380952
铅钡,PbO,风化,39.47032859244729
铅钡,PbO,风化,47.43163340724317
铅钡,PbO,风化,48.164135899649594
铅钡,PbO,无风化,12.900179431485503
铅钡,PbO,风化,51.61230282443815
铅钡,PbO,风化,50.41393583994481
铅钡,PbO,无风化,31.922424242424245
铅钡,PbO,风化,40.57244024786072
铅钡,PbO,风化,43.182688625047874
铅钡,PbO,风化,37.28267563598466
铅钡,BaO,风化,7.8680312648443245
铅钡,BaO,风化,29.68066907432047
铅钡,BaO,风化,29.54457738324971
铅钡,BaO,风化,14.160407075357403
铅钡,BaO,风化,5.055755055755056
铅钡,BaO,无风化,23.924417128054046
铅钡,BaO,无风化,11.35852128525595
铅钡,BaO,无风化,24.30053733555679
铅钡,BaO,无风化,6.491921706447992
铅钡,BaO,风化,30.650066527276188
铅钡,BaO,风化,33.75708232157311
铅钡,BaO,无风化,3.846336935307278
铅钡,BaO,无风化,1.952298518945951
铅钡,BaO,无风化,9.554761130971725
铅钡,BaO,无风化,9.747598417781127
铅钡,BaO,无风化,3.2420134609915636
铅钡,BaO,无风化,4.568646725647148
铅钡,BaO,无风化,3.283540674282014
铅钡,BaO,风化,9.496225250462942
铅钡,BaO,无风化,5.428134556574923
铅钡,BaO,风化,10.542197994743505
铅钡,BaO,无风化,9.837781266352694
铅钡,BaO,风化,9.418442445524077
铅钡,BaO,风化,6.6963457614542765
铅钡,BaO,风化,6.223834775327938
铅钡,BaO,风化,9.711925966465994
铅钡,BaO,无风化,10.154204247890604
铅钡,BaO,无风化,10.094637223974765
铅钡,BaO,风化,6.990794016110471
铅钡,BaO,风化,3.14277451074906
铅钡,BaO,无风化,4.889471712251779
铅钡,BaO,无风化,10.341573881864505
铅钡,BaO,无风化,9.290298748672484
铅钡,BaO,无风化,9.017194216490818
铅钡,BaO,风化,7.049860160092583
铅钡,BaO,风化,5.947737909516381
铅钡,BaO,无风化,3.989526303261129
铅钡,BaO,风化,14.604545922040524
铅钡,BaO,无风化,5.923809523809523
铅钡,BaO,风化,8.769004413928398
铅钡,BaO,风化,8.416481892091648
铅钡,BaO,风化,8.77558275354223
铅钡,BaO,无风化,8.489942393049391
铅钡,BaO,风化,6.551579731050208
铅钡,BaO,风化,7.8561572956191785
铅钡,BaO,无风化,7.70909090909091
铅钡,BaO,风化,15.196223074653286
铅钡,BaO,风化,16.564534661049407
铅钡,BaO,风化,7.257567862049363
铅钡,P2O5,风化,3.0833009457183578
铅钡,P2O5,风化,3.411898878540202
铅钡,P2O5,风化,7.294480895407178
铅钡,P2O5,风化,9.091349648655198
铅钡,P2O5,风化,8.344358344358346
铅钡,P2O5,无风化,5.841418194747803
铅钡,P2O5,无风化,2.4326006799789304
铅钡,P2O5,无风化,0.1297016861219196
铅钡,P2O5,无风化,0.1854834773270855
铅钡,P2O5,风化,2.974719635050371
铅钡,P2O5,风化,5.75155930105223
铅钡,P2O5,无风化,0.9901461417622696
铅钡,P2O5,无风化,0.3943065974225813
铅钡,P2O5,无风化,2.3585124657597842
铅钡,P2O5,无风化,1.3279336974948202
铅钡,P2O5,无风化,1.5356905867854775
铅钡,P2O5,无风化,0.1591536769180359
铅钡,P2O5,无风化,0.12024233455117238
铅钡,P2O5,风化,0.32287165851574
铅钡,P2O5,无风化,0.40137614678899086
铅钡,P2O5,风化,0.06813978389954252
铅钡,P2O5,无风化,1.3890871033728178
铅钡,P2O5,风化,0.4617826735292704
铅钡,P2O5,风化,1.0758671860508255
铅钡,P2O5,风化,1.6466648060284677
铅钡,P2O5,风化,7.423254888302901
铅钡,P2O5,无风化,0.07758704296382506
铅钡,P2O5,无风化,2.356652440155873
铅钡,P2O5,风化,2.435749904104334
铅钡,P2O5,风化,12.368649378193387
铅钡,P2O5,无风化,2.3791682278006743
铅钡,P2O5,无风化,2.3966786186072846
铅钡,P2O5,无风化,0.18469778824398575
铅钡,P2O5,无风化,0.0976944118796405
铅钡,P2O5,风化,1.0608544700549716
铅钡,P2O5,风化,10.822932917316693
铅钡,P2O5,无风化,4.1133063556296126
铅钡,P2O5,风化,6.520621207446261
铅钡,P2O5,无风化,6.038095238095238
铅钡,P2O5,风化,7.9450711132908305
铅钡,P2O5,风化,8.083887657058389
铅钡,P2O5,风化,5.7996038799451535
铅钡,P2O5,无风化,2.3987156483142886
铅钡,P2O5,风化,3.94583779256433
铅钡,P2O5,风化,12.185236288375304
铅钡,P2O5,无风化,0.33939393939393936
铅钡,P2O5,风化,2.4982787449591815
铅钡,P2O5,风化,2.432018383761011
铅钡,P2O5,风化,8.517693874650623
