glass_type,artifact_i,artifact_j,co_cluster_frequency,n_joint_resamples,k,stable_subclass_supported
高钾,06,01,0.9067599067599068,429,2,0
高钾,06,03,0.8567901234567902,405,2,0
高钾,06,04,0.8983451536643026,423,2,0
高钾,06,05,0.9133489461358314,427,2,0
高钾,06,06,1.0,659,2,0
高钾,06,07,0.49061032863849763,426,2,0
高钾,06,09,0.19950124688279303,401,2,0
高钾,06,10,0.2962962962962963,405,2,0
高钾,06,12,0.15914489311163896,421,2,0
高钾,06,13,0.8958837772397095,413,2,0
高钾,06,14,0.5498783454987834,411,2,0
高钾,06,16,0.6894117647058824,425,2,0
高钾,06,18,0.7004950495049505,404,2,0
高钾,06,21,0.9046454767726161,409,2,0
高钾,06,22,0.21479713603818615,419,2,0
高钾,06,27,0.44364508393285373,417,2,0
高钾,07,01,0.5792079207920792,404,2,0
高钾,07,03,0.7178217821782178,404,2,0
高钾,07,04,0.5714285714285714,406,2,0
高钾,07,05,0.5481481481481482,405,2,0
高钾,07,06,0.49061032863849763,426,2,0
高钾,07,07,1.0,631,2,0
高钾,07,09,0.5207253886010362,386,2,0
高钾,07,10,0.5118110236220472,381,2,0
高钾,07,12,0.5169082125603864,414,2,0
高钾,07,13,0.5477386934673367,398,2,0
高钾,07,14,0.6,365,2,0
高钾,07,16,0.6666666666666666,405,2,0
高钾,07,18,0.8459530026109661,383,2,0
高钾,07,21,0.5903614457831325,415,2,0
高钾,07,22,0.36650485436893204,412,2,0
高钾,07,27,0.9600997506234414,401,2,0
高钾,09,01,0.17232375979112272,383,2,0
高钾,09,03,0.21899736147757257,379,2,0
高钾,09,04,0.18882978723404256,376,2,0
高钾,09,05,0.15425531914893617,376,2,0
高钾,09,06,0.19950124688279303,401,2,0
高钾,09,07,0.5207253886010362,386,2,0
高钾,09,09,1.0,595,2,0
高钾,09,10,0.875,360,2,0
高钾,09,12,0.9738903394255874,383,2,0
高钾,09,13,0.15633423180592992,371,2,0
高钾,09,14,0.232,375,2,0
高钾,09,16,0.3282828282828283,396,2,0
高钾,09,18,0.3896457765667575,367,2,0
高钾,09,21,0.20698924731182797,372,2,0
高钾,09,22,0.8483290488431876,389,2,0
高钾,09,27,0.5714285714285714,378,2,0
高钾,10,01,0.20654911838790932,397,2,0
高钾,10,03,0.24489795918367346,392,2,0
高钾,10,04,0.20151133501259447,397,2,0
高钾,10,05,0.20822622107969152,389,2,0
高钾,10,06,0.2962962962962963,405,2,0
高钾,10,07,0.5118110236220472,381,2,0
高钾,10,09,0.875,360,2,0
高钾,10,10,1.0,604,2,0
高钾,10,12,0.8190954773869347,398,2,0
高钾,10,13,0.2109375,384,2,0
高钾,10,14,0.17857142857142858,364,2,0
高钾,10,16,0.3943298969072165,388,2,0
高钾,10,18,0.4281842818428184,369,2,0
高钾,10,21,0.2372448979591837,392,2,0
高钾,10,22,0.7474226804123711,388,2,0
高钾,10,27,0.4876712328767123,365,2,0
高钾,12,01,0.21549636803874092,413,2,0
高钾,12,03,0.24047619047619048,420,2,0
高钾,12,04,0.2087378640776699,412,2,0
高钾,12,05,0.1825,400,2,0
高钾,12,06,0.15914489311163896,421,2,0
高钾,12,07,0.5169082125603864,414,2,0
高钾,12,09,0.9738903394255874,383,2,0
高钾,12,10,0.8190954773869347,398,2,0
高钾,12,12,1.0,634,2,0
高钾,12,13,0.20149253731343283,402,2,0
高钾,12,14,0.29973474801061006,377,2,0
高钾,12,16,0.2944038929440389,411,2,0
高钾,12,18,0.3680203045685279,394,2,0
高钾,12,21,0.23486682808716708,413,2,0
高钾,12,22,0.8641975308641975,405,2,0
高钾,12,27,0.5607940446650124,403,2,0
高钾,13,01,0.9950617283950617,405,2,0
高钾,13,03,0.935251798561151,417,2,0
高钾,13,04,0.9949748743718593,398,2,0
高钾,13,05,0.9974747474747475,396,2,0
高钾,13,06,0.8958837772397095,413,2,0
高钾,13,07,0.5477386934673367,398,2,0
高钾,13,09,0.15633423180592992,371,2,0
高钾,13,10,0.2109375,384,2,0
高钾,13,12,0.20149253731343283,402,2,0
高钾,13,13,1.0,621,2,0
高钾,13,14,0.6106666666666667,375,2,0
高钾,13,16,0.7193396226415094,424,2,0
高钾,13,18,0.7855227882037533,373,2,0
高钾,13,21,0.9748743718592965,398,2,0
高钾,13,22,0.22549019607843138,408,2,0
高钾,13,27,0.5,382,2,0
高钾,14,01,0.5809018567639257,377,2,0
高钾,14,03,0.6881443298969072,388,2,0
高钾,14,04,0.6352040816326531,392,2,0
高钾,14,05,0.6236842105263158,380,2,0
高钾,14,06,0.5498783454987834,411,2,0
高钾,14,07,0.6,365,2,0
高钾,14,09,0.232,375,2,0
高钾,14,10,0.17857142857142858,364,2,0
高钾,14,12,0.29973474801061006,377,2,0
高钾,14,13,0.6106666666666667,375,2,0
高钾,14,14,1.0,596,2,0
高钾,14,16,0.7674418604651163,387,2,0
高钾,14,18,0.6287262872628726,369,2,0
高钾,14,21,0.5921052631578947,380,2,0
高钾,14,22,0.37866666666666665,375,2,0
高钾,14,27,0.6504065040650406,369,2,0
高钾,16,01,0.7093596059113301,406,2,0
高钾,16,03,0.8170731707317073,410,2,0
高钾,16,04,0.75177304964539,423,2,0
高钾,16,05,0.7301980198019802,404,2,0
高钾,16,06,0.6894117647058824,425,2,0
高钾,16,07,0.6666666666666666,405,2,0
高钾,16,09,0.3282828282828283,396,2,0
高钾,16,10,0.3943298969072165,388,2,0
高钾,16,12,0.2944038929440389,411,2,0
高钾,16,13,0.7193396226415094,424,2,0
高钾,16,14,0.7674418604651163,387,2,0
高钾,16,16,1.0,640,2,0
高钾,16,18,0.8772845953002611,383,2,0
高钾,16,21,0.7118226600985221,406,2,0
高钾,16,22,0.375609756097561,410,2,0
高钾,16,27,0.683698296836983,411,2,0
高钾,18,01,0.7989556135770235,383,2,0
高钾,18,03,0.8586666666666667,375,2,0
高钾,18,04,0.8015267175572519,393,2,0
高钾,18,05,0.7868421052631579,380,2,0
高钾,18,06,0.7004950495049505,404,2,0
高钾,18,07,0.8459530026109661,383,2,0
高钾,18,09,0.3896457765667575,367,2,0
高钾,18,10,0.4281842818428184,369,2,0
高钾,18,12,0.3680203045685279,394,2,0
高钾,18,13,0.7855227882037533,373,2,0
高钾,18,14,0.6287262872628726,369,2,0
高钾,18,16,0.8772845953002611,383,2,0
高钾,18,18,1.0,599,2,0
高钾,18,21,0.7942708333333334,384,2,0
高钾,18,22,0.2857142857142857,378,2,0
高钾,18,27,0.8131868131868132,364,2,0
高钾,21,01,0.9625935162094763,401,2,0
高钾,21,03,0.9715762273901809,387,2,0
高钾,21,04,0.9806295399515739,413,2,0
高钾,21,05,0.9778869778869779,407,2,0
高钾,21,06,0.9046454767726161,409,2,0
高钾,21,07,0.5903614457831325,415,2,0
高钾,21,09,0.20698924731182797,372,2,0
高钾,21,10,0.2372448979591837,392,2,0
高钾,21,12,0.23486682808716708,413,2,0
高钾,21,13,0.9748743718592965,398,2,0
高钾,21,14,0.5921052631578947,380,2,0
高钾,21,16,0.7118226600985221,406,2,0
高钾,21,18,0.7942708333333334,384,2,0
高钾,21,21,1.0,631,2,0
高钾,21,22,0.2731707317073171,410,2,0
高钾,21,27,0.5261845386533666,401,2,0
高钾,22,01,0.22911694510739858,419,2,0
高钾,22,03,0.26044226044226043,407,2,0
高钾,22,04,0.24378109452736318,402,2,0
高钾,22,05,0.24120603015075376,398,2,0
高钾,22,06,0.21479713603818615,419,2,0
高钾,22,07,0.36650485436893204,412,2,0
高钾,22,09,0.8483290488431876,389,2,0
高钾,22,10,0.7474226804123711,388,2,0
高钾,22,12,0.8641975308641975,405,2,0
高钾,22,13,0.22549019607843138,408,2,0
高钾,22,14,0.37866666666666665,375,2,0
高钾,22,16,0.375609756097561,410,2,0
高钾,22,18,0.2857142857142857,378,2,0
高钾,22,21,0.2731707317073171,410,2,0
高钾,22,22,1.0,630,2,0
高钾,22,27,0.4282115869017632,397,2,0
高钾,27,01,0.4900990099009901,404,2,0
高钾,27,03,0.6467661691542289,402,2,0
高钾,27,04,0.5170731707317073,410,2,0
高钾,27,05,0.5113924050632911,395,2,0
高钾,27,06,0.44364508393285373,417,2,0
高钾,27,07,0.9600997506234414,401,2,0
高钾,27,09,0.5714285714285714,378,2,0
高钾,27,10,0.4876712328767123,365,2,0
高钾,27,12,0.5607940446650124,403,2,0
高钾,27,13,0.5,382,2,0
高钾,27,14,0.6504065040650406,369,2,0
高钾,27,16,0.683698296836983,411,2,0
高钾,27,18,0.8131868131868132,364,2,0
高钾,27,21,0.5261845386533666,401,2,0
高钾,27,22,0.4282115869017632,397,2,0
高钾,27,27,1.0,620,2,0
铅钡,02,02,1.0,618,6,0
铅钡,02,08,0.011876484560570071,421,6,0
铅钡,02,11,0.12432432432432433,370,6,0
铅钡,02,19,0.32216494845360827,388,6,0
铅钡,02,20,0.12020460358056266,391,6,0
铅钡,02,23,0.038461538461538464,390,6,0
铅钡,02,24,0.01078167115902965,371,6,0
铅钡,02,25,0.12661498708010335,387,6,0
铅钡,02,26,0.015151515151515152,396,6,0
铅钡,02,28,0.0835509138381201,383,6,0
铅钡,02,29,0.05569620253164557,395,6,0
铅钡,02,30,0.6368286445012787,391,6,0
铅钡,02,31,0.29310344827586204,406,6,0
铅钡,02,32,0.17539267015706805,382,6,0
铅钡,02,33,0.04785894206549118,397,6,0
铅钡,02,34,0.02,400,6,0
铅钡,02,35,0.06951871657754011,374,6,0
铅钡,02,36,0.01020408163265306,392,6,0
铅钡,02,37,0.02631578947368421,418,6,0
铅钡,02,38,0.016042780748663103,374,6,0
铅钡,02,39,0.027848101265822784,395,6,0
铅钡,02,40,0.010610079575596816,377,6,0
铅钡,02,41,0.7755610972568578,401,6,0
铅钡,02,42,0.023255813953488372,387,6,0
铅钡,02,43,0.11450381679389313,393,6,0
铅钡,02,44,0.049019607843137254,408,6,0
铅钡,02,45,0.047619047619047616,399,6,0
铅钡,02,46,0.07235142118863049,387,6,0
铅钡,02,47,0.04081632653061224,392,6,0
铅钡,02,48,0.05597964376590331,393,6,0
铅钡,02,49,0.4609375,384,6,0
铅钡,02,50,0.1628498727735369,393,6,0
铅钡,02,51,0.14540816326530612,392,6,0
铅钡,02,52,0.028423772609819122,387,6,0
铅钡,02,53,0.05343511450381679,393,6,0
铅钡,02,54,0.1164021164021164,378,6,0
铅钡,02,55,0.036585365853658534,410,6,0
铅钡,02,56,0.06565656565656566,396,6,0
铅钡,02,57,0.08130081300813008,369,6,0
铅钡,02,58,0.2546419098143236,377,6,0
铅钡,08,02,0.011876484560570071,421,6,0
铅钡,08,08,1.0,649,6,0
铅钡,08,11,0.27621483375959077,391,6,0
铅钡,08,19,0.13189448441247004,417,6,0
铅钡,08,20,0.1678832116788321,411,6,0
铅钡,08,23,0.09405940594059406,404,6,0
铅钡,08,24,0.46174142480211083,379,6,0
铅钡,08,25,0.012626262626262626,396,6,0
铅钡,08,26,1.0,402,6,0
铅钡,08,28,0.0,417,6,0
铅钡,08,29,0.0,421,6,0
铅钡,08,30,0.02336448598130841,428,6,0
铅钡,08,31,0.0,422,6,0
铅钡,08,32,0.0,409,6,0
铅钡,08,33,0.0024630541871921183,406,6,0
铅钡,08,34,0.030878859857482184,421,6,0
铅钡,08,35,0.004901960784313725,408,6,0
铅钡,08,36,0.010075566750629723,397,6,0
铅钡,08,37,0.08536585365853659,410,6,0
铅钡,08,38,0.01015228426395939,394,6,0
铅钡,08,39,0.11951219512195121,410,6,0
铅钡,08,40,0.05583756345177665,394,6,0
铅钡,08,41,0.12971698113207547,424,6,0
铅钡,08,42,0.06619385342789598,423,6,0
铅钡,08,43,0.24105011933174225,419,6,0
铅钡,08,44,0.0,427,6,0
铅钡,08,45,0.004819277108433735,415,6,0
铅钡,08,46,0.0024330900243309003,411,6,0
铅钡,08,47,0.009569377990430622,418,6,0
铅钡,08,48,0.0,408,6,0
铅钡,08,49,0.041666666666666664,408,6,0
铅钡,08,50,0.059113300492610835,406,6,0
铅钡,08,51,0.097799511002445,409,6,0
铅钡,08,52,0.03431372549019608,408,6,0
铅钡,08,53,0.0072992700729927005,411,6,0
铅钡,08,54,0.17206982543640897,401,6,0
铅钡,08,55,0.023529411764705882,425,6,0
铅钡,08,56,0.0831353919239905,421,6,0
铅钡,08,57,0.12727272727272726,385,6,0
铅钡,08,58,0.15869017632241814,397,6,0
铅钡,11,02,0.12432432432432433,370,6,0
铅钡,11,08,0.27621483375959077,391,6,0
铅钡,11,11,1.0,561,6,0
铅钡,11,19,0.6590909090909091,352,6,0
铅钡,11,20,0.5102040816326531,343,6,0
铅钡,11,23,0.4131054131054131,351,6,0
铅钡,11,24,0.3493975903614458,332,6,0
铅钡,11,25,0.1327683615819209,354,6,0
铅钡,11,26,0.18207282913165265,357,6,0
铅钡,11,28,0.011235955056179775,356,6,0
铅钡,11,29,0.011527377521613832,347,6,0
铅钡,11,30,0.2506811989100817,367,6,0
铅钡,11,31,0.06666666666666667,360,6,0
铅钡,11,32,0.09348441926345609,353,6,0
铅钡,11,33,0.08831908831908832,351,6,0
铅钡,11,34,0.16847826086956522,368,6,0
铅钡,11,35,0.027855153203342618,359,6,0
铅钡,11,36,0.09831460674157304,356,6,0
铅钡,11,37,0.4477211796246649,373,6,0
铅钡,11,38,0.05917159763313609,338,6,0
铅钡,11,39,0.045714285714285714,350,6,0
铅钡,11,40,0.036931818181818184,352,6,0
铅钡,11,41,0.1565934065934066,364,6,0
铅钡,11,42,0.45892351274787535,353,6,0
铅钡,11,43,0.5190217391304348,368,6,0
铅钡,11,44,0.010899182561307902,367,6,0
铅钡,11,45,0.049586776859504134,363,6,0
铅钡,11,46,0.1404494382022472,356,6,0
铅钡,11,47,0.13702623906705538,343,6,0
铅钡,11,48,0.01928374655647383,363,6,0
铅钡,11,49,0.29329608938547486,358,6,0
铅钡,11,50,0.4093567251461988,342,6,0
铅钡,11,51,0.3391304347826087,345,6,0
铅钡,11,52,0.11965811965811966,351,6,0
铅钡,11,53,0.029069767441860465,344,6,0
铅钡,11,54,0.24929178470254956,353,6,0
铅钡,11,55,0.1557377049180328,366,6,0
铅钡,11,56,0.20738636363636365,352,6,0
铅钡,11,57,0.2478134110787172,343,6,0
铅钡,11,58,0.6537313432835821,335,6,0
铅钡,19,02,0.32216494845360827,388,6,0
铅钡,19,08,0.13189448441247004,417,6,0
铅钡,19,11,0.6590909090909091,352,6,0
铅钡,19,19,1.0,600,6,0
铅钡,19,20,0.391304347826087,368,6,0
铅钡,19,23,0.23821989528795812,382,6,0
铅钡,19,24,0.10028653295128939,349,6,0
铅钡,19,25,0.17819148936170212,376,6,0
铅钡,19,26,0.09414758269720101,393,6,0
铅钡,19,28,0.013404825737265416,373,6,0
铅钡,19,29,0.012755102040816327,392,6,0
铅钡,19,30,0.4476439790575916,382,6,0
铅钡,19,31,0.05128205128205128,390,6,0
铅钡,19,32,0.013054830287206266,383,6,0
铅钡,19,33,0.007792207792207792,385,6,0
铅钡,19,34,0.15267175572519084,393,6,0
铅钡,19,35,0.0,359,6,0
铅钡,19,36,0.037333333333333336,375,6,0
铅钡,19,37,0.29207920792079206,404,6,0
铅钡,19,38,0.05027932960893855,358,6,0
铅钡,19,39,0.047244094488188976,381,6,0
铅钡,19,40,0.05093833780160858,373,6,0
铅钡,19,41,0.2125984251968504,381,6,0
铅钡,19,42,0.3333333333333333,384,6,0
铅钡,19,43,0.7783505154639175,388,6,0
铅钡,19,44,0.007614213197969543,394,6,0
铅钡,19,45,0.01804123711340206,388,6,0
铅钡,19,46,0.05570291777188329,377,6,0
铅钡,19,47,0.020618556701030927,388,6,0
铅钡,19,48,0.013157894736842105,380,6,0
铅钡,19,49,0.33156498673740054,377,6,0
铅钡,19,50,0.3333333333333333,378,6,0
铅钡,19,51,0.3780160857908847,373,6,0
铅钡,19,52,0.09523809523809523,378,6,0
铅钡,19,53,0.005361930294906166,373,6,0
铅钡,19,54,0.3181818181818182,374,6,0
铅钡,19,55,0.06766917293233082,399,6,0
铅钡,19,56,0.08244680851063829,376,6,0
铅钡,19,57,0.12962962962962962,378,6,0
铅钡,19,58,0.9807162534435262,363,6,0
铅钡,20,02,0.12020460358056266,391,6,0
铅钡,20,08,0.1678832116788321,411,6,0
铅钡,20,11,0.5102040816326531,343,6,0
铅钡,20,19,0.391304347826087,368,6,0
铅钡,20,20,1.0,593,6,0
铅钡,20,23,0.5462184873949579,357,6,0
铅钡,20,24,0.25833333333333336,360,6,0
铅钡,20,25,0.1095890410958904,365,6,0
铅钡,20,26,0.1585677749360614,391,6,0
铅钡,20,28,0.04473684210526316,380,6,0
铅钡,20,29,0.03359173126614987,387,6,0
铅钡,20,30,0.1518324607329843,382,6,0
铅钡,20,31,0.08860759493670886,395,6,0
铅钡,20,32,0.042328042328042326,378,6,0
铅钡,20,33,0.03684210526315789,380,6,0
铅钡,20,34,0.16578947368421051,380,6,0
铅钡,20,35,0.011267605633802818,355,6,0
铅钡,20,36,0.05361930294906166,373,6,0
铅钡,20,37,0.6025,400,6,0
铅钡,20,38,0.06371191135734072,361,6,0
铅钡,20,39,0.07123287671232877,365,6,0
铅钡,20,40,0.02981029810298103,369,6,0
铅钡,20,41,0.046511627906976744,387,6,0
铅钡,20,42,0.5744125326370757,383,6,0
铅钡,20,43,0.30319148936170215,376,6,0
铅钡,20,44,0.05053191489361702,376,6,0
铅钡,20,45,0.10335917312661498,387,6,0
铅钡,20,46,0.0948509485094851,369,6,0
铅钡,20,47,0.0712401055408971,379,6,0
铅钡,20,48,0.058823529411764705,357,6,0
铅钡,20,49,0.11444141689373297,367,6,0
铅钡,20,50,0.09115281501340483,373,6,0
铅钡,20,51,0.09408602150537634,372,6,0
铅钡,20,52,0.057065217391304345,368,6,0
铅钡,20,53,0.09921671018276762,383,6,0
铅钡,20,54,0.08707865168539326,356,6,0
铅钡,20,55,0.07751937984496124,387,6,0
铅钡,20,56,0.14054054054054055,370,6,0
铅钡,20,57,0.15512465373961218,361,6,0
铅钡,20,58,0.41032608695652173,368,6,0
铅钡,23,02,0.038461538461538464,390,6,0
铅钡,23,08,0.09405940594059406,404,6,0
铅钡,23,11,0.4131054131054131,351,6,0
铅钡,23,19,0.23821989528795812,382,6,0
铅钡,23,20,0.5462184873949579,357,6,0
铅钡,23,23,1.0,592,6,0
铅钡,23,24,0.403954802259887,354,6,0
铅钡,23,25,0.42091152815013405,373,6,0
铅钡,23,26,0.07012987012987013,385,6,0
铅钡,23,28,0.029023746701846966,379,6,0
铅钡,23,29,0.021108179419525065,379,6,0
铅钡,23,30,0.10103626943005181,386,6,0
铅钡,23,31,0.1796875,384,6,0
铅钡,23,32,0.3484042553191489,376,6,0
铅钡,23,33,0.30933333333333335,375,6,0
铅钡,23,34,0.2601626016260163,369,6,0
铅钡,23,35,0.1196808510638298,376,6,0
铅钡,23,36,0.1640625,384,6,0
铅钡,23,37,0.9072164948453608,388,6,0
铅钡,23,38,0.10989010989010989,364,6,0
铅钡,23,39,0.13101604278074866,374,6,0
铅钡,23,40,0.04395604395604396,364,6,0
铅钡,23,41,0.0027100271002710027,369,6,0
铅钡,23,42,0.7154471544715447,369,6,0
铅钡,23,43,0.15508021390374332,374,6,0
铅钡,23,44,0.03535353535353535,396,6,0
铅钡,23,45,0.1984126984126984,378,6,0
铅钡,23,46,0.2016348773841962,367,6,0
铅钡,23,47,0.368,375,6,0
铅钡,23,48,0.0291005291005291,378,6,0
铅钡,23,49,0.06149732620320856,374,6,0
铅钡,23,50,0.07238605898123325,373,6,0
铅钡,23,51,0.051075268817204304,372,6,0
铅钡,23,52,0.0392156862745098,357,6,0
铅钡,23,53,0.16172506738544473,371,6,0
铅钡,23,54,0.04054054054054054,370,6,0
铅钡,23,55,0.387434554973822,382,6,0
铅钡,23,56,0.2857142857142857,371,6,0
铅钡,23,57,0.2292817679558011,362,6,0
铅钡,23,58,0.24444444444444444,360,6,0
铅钡,24,02,0.01078167115902965,371,6,0
铅钡,24,08,0.46174142480211083,379,6,0
铅钡,24,11,0.3493975903614458,332,6,0
铅钡,24,19,0.10028653295128939,349,6,0
铅钡,24,20,0.25833333333333336,360,6,0
铅钡,24,23,0.403954802259887,354,6,0
铅钡,24,24,1.0,568,6,0
铅钡,24,25,0.23837209302325582,344,6,0
铅钡,24,26,0.43010752688172044,372,6,0
铅钡,24,28,0.0,361,6,0
铅钡,24,29,0.005479452054794521,365,6,0
铅钡,24,30,0.03494623655913978,372,6,0
铅钡,24,31,0.024,375,6,0
铅钡,24,32,0.17094017094017094,351,6,0
铅钡,24,33,0.14794520547945206,365,6,0
铅钡,24,34,0.21333333333333335,375,6,0
铅钡,24,35,0.07736389684813753,349,6,0
铅钡,24,36,0.22,350,6,0
铅钡,24,37,0.32707774798927614,373,6,0
铅钡,24,38,0.1751412429378531,354,6,0
铅钡,24,39,0.12034383954154727,349,6,0
铅钡,24,40,0.04748603351955307,358,6,0
铅钡,24,41,0.03333333333333333,360,6,0
铅钡,24,42,0.3435754189944134,358,6,0
铅钡,24,43,0.15803814713896458,367,6,0
铅钡,24,44,0.0027548209366391185,363,6,0
铅钡,24,45,0.02680965147453083,373,6,0
铅钡,24,46,0.13428571428571429,350,6,0
铅钡,24,47,0.30919220055710306,359,6,0
铅钡,24,48,0.0,355,6,0
铅钡,24,49,0.020348837209302327,344,6,0
铅钡,24,50,0.0847457627118644,354,6,0
铅钡,24,51,0.049315068493150684,365,6,0
铅钡,24,52,0.043835616438356165,365,6,0
铅钡,24,53,0.019390581717451522,361,6,0
铅钡,24,54,0.07736389684813753,349,6,0
铅钡,24,55,0.26063829787234044,376,6,0
铅钡,24,56,0.25722543352601157,346,6,0
铅钡,24,57,0.23837209302325582,344,6,0
铅钡,24,58,0.13353115727002968,337,6,0
铅钡,25,02,0.12661498708010335,387,6,0
铅钡,25,08,0.012626262626262626,396,6,0
铅钡,25,11,0.1327683615819209,354,6,0
铅钡,25,19,0.17819148936170212,376,6,0
铅钡,25,20,0.1095890410958904,365,6,0
铅钡,25,23,0.42091152815013405,373,6,0
铅钡,25,24,0.23837209302325582,344,6,0
铅钡,25,25,1.0,579,6,0
铅钡,25,26,0.0026666666666666666,375,6,0
铅钡,25,28,0.0948509485094851,369,6,0
铅钡,25,29,0.08222811671087533,377,6,0
铅钡,25,30,0.38292011019283745,363,6,0
铅钡,25,31,0.3038961038961039,385,6,0
铅钡,25,32,0.35945945945945945,370,6,0
铅钡,25,33,0.49056603773584906,371,6,0
铅钡,25,34,0.41823056300268097,373,6,0
铅钡,25,35,0.0935672514619883,342,6,0
铅钡,25,36,0.38526912181303113,353,6,0
铅钡,25,37,0.3324607329842932,382,6,0
铅钡,25,38,0.29461756373937675,353,6,0
铅钡,25,39,0.2103825136612022,366,6,0
铅钡,25,40,0.06685236768802229,359,6,0
铅钡,25,41,0.06593406593406594,364,6,0
铅钡,25,42,0.3698630136986301,365,6,0
铅钡,25,43,0.09243697478991597,357,6,0
铅钡,25,44,0.09893048128342247,374,6,0
铅钡,25,45,0.2868421052631579,380,6,0
铅钡,25,46,0.45217391304347826,345,6,0
铅钡,25,47,0.5471204188481675,382,6,0
铅钡,25,48,0.10079575596816977,377,6,0
铅钡,25,49,0.3,360,6,0
铅钡,25,50,0.21022727272727273,352,6,0
铅钡,25,51,0.18681318681318682,364,6,0
铅钡,25,52,0.13764044943820225,356,6,0
铅钡,25,53,0.2292817679558011,362,6,0
铅钡,25,54,0.18181818181818182,374,6,0
铅钡,25,55,0.8689839572192514,374,6,0
铅钡,25,56,0.4861111111111111,360,6,0
铅钡,25,57,0.40285714285714286,350,6,0
铅钡,25,58,0.17032967032967034,364,6,0
铅钡,26,02,0.015151515151515152,396,6,0
铅钡,26,08,1.0,402,6,0
铅钡,26,11,0.18207282913165265,357,6,0
铅钡,26,19,0.09414758269720101,393,6,0
铅钡,26,20,0.1585677749360614,391,6,0
铅钡,26,23,0.07012987012987013,385,6,0
铅钡,26,24,0.43010752688172044,372,6,0
铅钡,26,25,0.0026666666666666666,375,6,0
铅钡,26,26,1.0,608,6,0
铅钡,26,28,0.0,389,6,0
铅钡,26,29,0.0,395,6,0
铅钡,26,30,0.02313624678663239,389,6,0
铅钡,26,31,0.0,391,6,0
铅钡,26,32,0.0,395,6,0
铅钡,26,33,0.0,396,6,0
铅钡,26,34,0.010443864229765013,383,6,0
铅钡,26,35,0.0,371,6,0
铅钡,26,36,0.002531645569620253,395,6,0
铅钡,26,37,0.06598984771573604,394,6,0
铅钡,26,38,0.0,368,6,0
铅钡,26,39,0.1282051282051282,390,6,0
铅钡,26,40,0.08488063660477453,377,6,0
铅钡,26,41,0.1,380,6,0
铅钡,26,42,0.042105263157894736,380,6,0
铅钡,26,43,0.1595744680851064,376,6,0
铅钡,26,44,0.0,399,6,0
铅钡,26,45,0.0025252525252525255,396,6,0
铅钡,26,46,0.0,375,6,0
