repeat_id,model,balanced_accuracy,macro_f1,roc_auc,brier,calibration_intercept,calibration_slope
9,Logistic,0.76875,0.7637130801687764,0.825,0.15405057938177455,0.5680723815999087,0.5834646396316819
10,CART,0.7125,0.7315904139433551,0.7406250000000001,0.16336527253225744,0.7544854373166621,0.22585828028356703
10,LDA,0.775,0.790610718737017,0.8265625000000001,0.13554246829617397,0.10622281272759142,0.6110016978791795
10,Logistic,0.75,0.754679410593389,0.8187500000000001,0.15958595478032098,0.5565964183998042,0.6334276735793001
11,CART,0.7125,0.7043740573152337,0.7734375,0.19193608734732104,0.8555992376256024,0.1617307221743132
11,LDA,0.7875,0.8095238095238095,0.815625,0.1278538527456779,1.783679384589204e-05,0.6465828606907059
11,Logistic,0.76875,0.7637130801687764,0.7781250000000001,0.1621012808827746,0.7439740777223656,0.5360777074667966
12,CART,0.7375,0.7375,0.72890625,0.18362389066399518,1.0141136008445284,0.1751777791879595
12,LDA,0.7875,0.8095238095238095,0.79375,0.14165446393382103,0.21536664440143286,0.5043468624758042
12,Logistic,0.7375,0.7375,0.8109375,0.1593166228861034,0.513393499657329,0.6754221986916097
13,CART,0.74375,0.7619047619047619,0.74453125,0.14364087029915154,0.5085021024177075,0.6012931094428063
13,LDA,0.775,0.790610718737017,0.8390625,0.13049897751450062,0.01650907502458498,0.6620445871526051
13,Logistic,0.76875,0.7637130801687764,0.8125,0.17228113363973968,0.8033637497645582,0.4466746760480953
14,CART,0.78125,0.78125,0.7953125000000001,0.14854458487659064,0.743895228904878,0.13616147875325593
14,LDA,0.775,0.790610718737017,0.8546875,0.1278742954494993,-0.06420878561145947,0.7016885372452993
14,Logistic,0.86875,0.8229715489989462,0.8843749999999999,0.1300326055433952,0.8110695502443362,0.868628483932227
15,CART,0.7375,0.7375,0.8140624999999999,0.16749727801173378,0.7867214146766367,0.22344326483073576
15,LDA,0.7875,0.8095238095238095,0.8296874999999999,0.12415978647985378,0.042001166316834225,0.6418623526718148
15,Logistic,0.78125,0.78125,0.875,0.12637409112844553,0.694642513811756,0.774846482113206
16,CART,0.75,0.754679410593389,0.80859375,0.17941597323453193,0.7585404723390042,0.12763866983892716
16,LDA,0.7875,0.8095238095238095,0.8046875,0.13004007548000038,0.08924327553124047,0.5992631917041009
16,Logistic,0.7625,0.7723577235772358,0.7953125000000001,0.16090193401623543,0.6306134180753181,0.5031339700296579
17,CART,0.75,0.754679410593389,0.7562500000000001,0.1498199707384948,0.8016310219058931,0.12081631697694627
17,LDA,0.7875,0.8095238095238095,0.803125,0.12605445468946283,-0.014501521911925717,0.6026482107779144
17,Logistic,0.79375,0.7992831541218638,0.8734375,0.12703354608582745,0.61701128436271,0.8558864912732721
18,CART,0.75,0.754679410593389,0.7515625,0.16146094402673347,0.865422616316183,0.1169045695997017
18,LDA,0.775,0.790610718737017,0.815625,0.1372729312639053,0.12555569712524173,0.5848635559474828
18,Logistic,0.7875,0.7714285714285714,0.8875,0.13910099749792884,0.7285777916352326,0.822009042193645
19,CART,0.79375,0.7992831541218638,0.79140625,0.15269514212226407,0.8318123805825165,0.14479935651967515
19,LDA,0.775,0.790610718737017,0.834375,0.14115046705043652,0.11800254833267083,0.5599388945386569
19,Logistic,0.8625,0.8362573099415205,0.86875,0.13522210176048505,0.6229549603432223,0.6459699446524368
