glass_type,component_j,component_k,partial_corr,shrinkage_parameter,ci_low,ci_high
高钾,Fe2O3,SrO,-0.1806962441368092,0.31012075381711696,-0.276609477895434,-0.09031292425832806
高钾,CuO,PbO,-0.23585252129758566,0.31012075381711696,-0.4479489591336773,0.09464962364189326
高钾,CuO,P2O5,-0.05225637556552256,0.31012075381711696,-0.3953626827220066,0.22687953331293323
高钾,CuO,SrO,-0.04483070054222547,0.31012075381711696,-0.13001639613950872,0.06283118672830817
高钾,PbO,P2O5,-0.45318324626059353,0.31012075381711696,-0.6123321355853776,-0.10758349634508883
高钾,PbO,SrO,0.12828756789654355,0.31012075381711696,-0.05673232811101515,0.2230042237381308
高钾,P2O5,SrO,-0.0628541407158401,0.31012075381711696,-0.17935736161529633,0.051959455633495424
铅钡,SiO2,K2O,-0.10359709620837539,0.14881306219522805,-0.2578881560501862,0.07122040502498127
铅钡,SiO2,CaO,-0.44943917801885036,0.14881306219522805,-0.5996046485721154,-0.25683898625072044
铅钡,SiO2,MgO,-0.03847236801508046,0.14881306219522805,-0.17634066694173753,0.12373483332929976
铅钡,SiO2,Al2O3,0.14891580852387432,0.14881306219522805,4.052785978924951e-05,0.28081264956698615
铅钡,SiO2,Fe2O3,-0.1582429073645612,0.14881306219522805,-0.3247883334591546,0.05070728274910621
铅钡,SiO2,CuO,-0.3398789868673552,0.14881306219522805,-0.48878516054867516,-0.15802804995997746
铅钡,SiO2,PbO,-0.12115638334407179,0.14881306219522805,-0.2678443560025325,-0.004550905104699245
铅钡,SiO2,BaO,-0.27824975912686656,0.14881306219522805,-0.44145847547512984,-0.07885737001457281
铅钡,SiO2,P2O5,-0.46040567596270254,0.14881306219522805,-0.5904415966436724,-0.3301812223801284
铅钡,SiO2,SrO,-0.11384531881375068,0.14881306219522805,-0.3046166988232444,0.06680759083030977
铅钡,K2O,CaO,-0.020005832449816657,0.14881306219522805,-0.17463501038450469,0.14283141802544755
铅钡,K2O,MgO,-0.08979043447766036,0.14881306219522805,-0.22520760637431356,0.05375533271288999
铅钡,K2O,Al2O3,-0.20278620501843803,0.14881306219522805,-0.3070762694426995,-0.070993398811731
铅钡,K2O,Fe2O3,-0.10753149544624804,0.14881306219522805,-0.2598975886993557,0.06088635020930458
铅钡,K2O,CuO,-0.31733805369264445,0.14881306219522805,-0.49126604103083055,-0.09334530270733767
铅钡,K2O,PbO,-0.032849740198539576,0.14881306219522805,-0.2521201406533653,0.19140939213826652
铅钡,K2O,BaO,-0.04795097289182715,0.14881306219522805,-0.19979796197609168,0.10680740739679759
铅钡,K2O,P2O5,-0.3199771955482366,0.14881306219522805,-0.4656819547280976,-0.13473201888700734
铅钡,K2O,SrO,-0.16135128279468494,0.14881306219522805,-0.33141397012417784,0.01904259558113213
铅钡,CaO,MgO,-0.09608667599546643,0.14881306219522805,-0.2597588230326021,0.047904983299802646
铅钡,CaO,Al2O3,0.07740504389357412,0.14881306219522805,-0.07154012780316417,0.2017532924975062
铅钡,CaO,Fe2O3,-0.17104708545618494,0.14881306219522805,-0.3010500478253819,-0.016271285690009015
铅钡,CaO,CuO,-0.2046996119484302,0.14881306219522805,-0.3377910098774549,-0.053772496568313746
铅钡,CaO,PbO,-0.01283496112826841,0.14881306219522805,-0.15460930426095684,0.10256007330444397
铅钡,CaO,BaO,-0.4522689128332569,0.14881306219522805,-0.5718445218553212,-0.2884994049395383
铅钡,CaO,P2O5,0.002194919891304502,0.14881306219522805,-0.16581472196640248,0.16574968511472113
铅钡,CaO,SrO,-0.09505054263207702,0.14881306219522805,-0.2461777277606992,0.05693428355827185
铅钡,MgO,Al2O3,-0.03305350715184073,0.14881306219522805,-0.13821397171331234,0.09315043465646496
铅钡,MgO,Fe2O3,-0.15823729234782138,0.14881306219522805,-0.30270883487198214,0.017171753488346597
铅钡,MgO,CuO,-0.36419851534036884,0.14881306219522805,-0.5339377541484099,-0.14760046697565926
铅钡,MgO,PbO,-0.019158188523252045,0.14881306219522805,-0.10910271763173886,0.0944966539741652
铅钡,MgO,BaO,-0.03353382802973362,0.14881306219522805,-0.17477610553142023,0.0983150342579789
铅钡,MgO,P2O5,-0.3746486017499618,0.14881306219522805,-0.5056478502658815,-0.22547203107182628
铅钡,MgO,SrO,-0.03534611779686513,0.14881306219522805,-0.23477151900355536,0.12346488836838242
铅钡,Al2O3,Fe2O3,-0.19043328057531972,0.14881306219522805,-0.3863785058626031,0.03207687934134623
铅钡,Al2O3,CuO,-0.38365550879825067,0.14881306219522805,-0.4968590552999193,-0.2768453987241708
铅钡,Al2O3,PbO,-0.4941680284397368,0.14881306219522805,-0.6124093043992098,-0.32290690663197386
铅钡,Al2O3,BaO,-0.2273166413020756,0.14881306219522805,-0.39068563146928226,-0.05085672111251988
铅钡,Al2O3,P2O5,-0.3672142277076792,0.14881306219522805,-0.48363841348785086,-0.20438195430389539
铅钡,Al2O3,SrO,-0.3525548755562729,0.14881306219522805,-0.4972845048766953,-0.1907813743344096
铅钡,Fe2O3,CuO,-0.2989132793700459,0.14881306219522805,-0.42168664328499494,-0.10477974928330586
铅钡,Fe2O3,PbO,-0.3586012565804522,0.14881306219522805,-0.5080520497602906,-0.17715770801609892
铅钡,Fe2O3,BaO,-0.23170447498137078,0.14881306219522805,-0.4122834793438156,-0.05333433199397355
铅钡,Fe2O3,P2O5,-0.37830634014824777,0.14881306219522805,-0.552062737791002,-0.1976241843453718
铅钡,Fe2O3,SrO,-0.2088139460995175,0.14881306219522805,-0.3579143878548463,-0.022505465455946724
铅钡,CuO,PbO,-0.3587610891007311,0.14881306219522805,-0.4993428704854121,-0.1976075346343723
铅钡,CuO,BaO,0.006274488347674874,0.14881306219522805,-0.13558325788522024,0.1618756249516536
铅钡,CuO,P2O5,-0.4841910173190544,0.14881306219522805,-0.5953810682801419,-0.30684954866916325
铅钡,CuO,SrO,-0.2468316504844352,0.14881306219522805,-0.436282988598632,-0.06008379396076709
铅钡,PbO,BaO,-0.12052459778332694,0.14881306219522805,-0.28517096605511005,0.06072063077413865
铅钡,PbO,P2O5,-0.3397534816090136,0.14881306219522805,-0.4938486541997311,-0.15461208679913824
铅钡,PbO,SrO,-0.014130059394532614,0.14881306219522805,-0.18434903205506226,0.13776057314605725
铅钡,BaO,P2O5,-0.2288946617385785,0.14881306219522805,-0.38139888772394975,-0.08030080734690344
铅钡,BaO,SrO,-0.03847226670819275,0.14881306219522805,-0.19822922994842818,0.12095062890129651
铅钡,P2O5,SrO,-0.41091067334415243,0.14881306219522805,-0.5719548062738237,-0.19170243307560264
